instance,initial_temperature,cost,optimal_cost,gap,time
E-n13-k4.vrp,100,290.0,247,17.408906882591094,8.601364135742188
E-n13-k4.vrp,500,290.0,247,17.408906882591094,6.376357078552246
E-n13-k4.vrp,1000,290.0,247,17.408906882591094,6.925733327865601
E-n13-k4.vrp,2000,290.0,247,17.408906882591094,7.467658042907715
E-n13-k4.vrp,5000,290.0,247,17.408906882591094,8.693923473358154
A-n32-k5.vrp,100,865.6508318252038,784,10.414646916480077,30.16099238395691
A-n32-k5.vrp,500,865.6508318252038,784,10.414646916480077,30.39464044570923
A-n32-k5.vrp,1000,865.6508318252038,784,10.414646916480077,30.33807373046875
A-n32-k5.vrp,2000,865.6508318252038,784,10.414646916480077,30.22478723526001
A-n32-k5.vrp,5000,865.6508318252038,784,10.414646916480077,30.29230499267578
B-n31-k5.vrp,100,676.0884122584414,672,0.6083946813156836,30.14702844619751
B-n31-k5.vrp,500,676.0884122584414,672,0.6083946813156836,30.339330196380615
B-n31-k5.vrp,1000,676.0884122584414,672,0.6083946813156836,30.48702907562256
B-n31-k5.vrp,2000,676.0884122584414,672,0.6083946813156836,30.119807720184326
B-n31-k5.vrp,5000,676.0884122584414,672,0.6083946813156836,30.132901668548584
P-n16-k8.vrp,100,451.9470921298185,450,0.43268713995966357,14.221638917922974
P-n16-k8.vrp,500,451.9470921298185,450,0.43268713995966357,17.402130126953125
P-n16-k8.vrp,1000,451.9470921298185,450,0.43268713995966357,18.487347841262817
P-n16-k8.vrp,2000,451.9470921298185,450,0.43268713995966357,21.05035710334778
P-n16-k8.vrp,5000,451.9470921298185,450,0.43268713995966357,22.353060960769653
